Time,DecimalCode
1.446670e-05,28
1.448630e-05,28
1.450591e-05,27
1.452552e-05,25
1.454513e-05,24
1.456474e-05,24
1.458434e-05,22
1.460395e-05,21
1.462356e-05,19
1.464317e-05,19
1.466277e-05,17
1.468238e-05,16
1.470199e-05,14
1.472160e-05,14
1.474121e-05,12
1.476081e-05,10
1.478042e-05,10
1.480003e-05,9
1.481964e-05,7
1.483925e-05,6
1.485885e-05,6
1.487846e-05,4
1.489807e-05,4
1.491768e-05,3
1.493728e-05,2
1.495689e-05,1
1.497650e-05,1
1.499611e-05,1
1.501572e-05,1
1.503532e-05,0
1.505493e-05,0
1.507454e-05,0
1.509415e-05,0
1.511376e-05,1
1.513336e-05,0
1.515297e-05,2
1.517258e-05,1
1.519219e-05,2
1.521179e-05,3
1.523140e-05,3
1.525101e-05,5
1.527062e-05,5
1.529023e-05,6
1.530983e-05,7
1.532944e-05,9
1.534905e-05,9
1.536866e-05,11
1.538826e-05,12
1.540787e-05,13
1.542748e-05,14
1.544709e-05,16
1.546670e-05,17
1.548630e-05,18
1.550591e-05,20
1.552552e-05,20
1.554513e-05,22
1.556474e-05,23
1.558434e-05,24
1.560395e-05,26
1.562356e-05,26
1.564317e-05,27
1.566277e-05,28
1.568238e-05,28
1.570199e-05,28
1.572160e-05,28
1.574121e-05,28
1.576081e-05,28
1.578042e-05,28
1.580003e-05,28
1.581964e-05,28
1.583925e-05,28
1.585885e-05,28
1.587846e-05,28
1.589807e-05,28
1.591768e-05,28
1.593728e-05,28
1.595689e-05,28
1.597650e-05,28
1.599611e-05,28
1.601572e-05,28
1.603532e-05,28
1.605493e-05,26
1.607454e-05,25
1.609415e-05,24
1.611376e-05,23
1.613336e-05,22
1.615297e-05,21
1.617258e-05,19
1.619219e-05,18
1.621179e-05,17
1.623140e-05,16
1.625101e-05,14
1.627062e-05,13
1.629023e-05,12
1.630983e-05,10
1.632944e-05,10
1.634905e-05,8
1.636866e-05,7
1.638826e-05,6
1.640787e-05,5
1.642748e-05,5
1.644709e-05,3
1.646670e-05,3
1.648630e-05,2
1.650591e-05,1
1.652552e-05,1
1.654513e-05,1
1.656474e-05,0
1.658434e-05,0
1.660395e-05,0
1.662356e-05,1
1.664317e-05,0
1.666277e-05,1
1.668238e-05,1
1.670199e-05,1
1.672160e-05,2
1.674121e-05,2
1.676081e-05,3
1.678042e-05,3
1.680003e-05,5
1.681964e-05,5
1.683925e-05,7
1.685885e-05,7
1.687846e-05,9
1.689807e-05,10
1.691768e-05,11
1.693728e-05,12
1.695689e-05,13
1.697650e-05,15
1.699611e-05,16
1.701572e-05,17
1.703532e-05,18
1.705493e-05,20
1.707454e-05,21
1.709415e-05,22
1.711376e-05,24
1.713336e-05,24
1.715297e-05,26
1.717258e-05,26
1.719219e-05,28
1.721179e-05,28
1.723140e-05,28
1.725101e-05,28
1.727062e-05,28
1.729023e-05,28
1.730983e-05,28
1.732944e-05,28
1.734905e-05,28
1.736866e-05,28
1.738826e-05,28
1.740787e-05,28
1.742748e-05,28
1.744709e-05,28
1.746670e-05,28
1.748630e-05,28
1.750591e-05,28
1.752552e-05,28
1.754513e-05,28
1.756474e-05,28
1.758434e-05,28
1.760395e-05,26
1.762356e-05,25
1.764317e-05,23
1.766277e-05,23
1.768238e-05,22
1.770199e-05,20
1.772160e-05,19
1.774121e-05,18
1.776081e-05,16
1.778042e-05,16
1.780003e-05,14
1.781964e-05,12
1.783925e-05,12
1.785885e-05,10
1.787846e-05,9
1.789807e-05,8
1.791768e-05,7
1.793728e-05,6
1.795689e-05,5
1.797650e-05,4
1.799611e-05,3
1.801572e-05,3
1.803532e-05,2
1.805493e-05,1
1.807454e-05,1
1.809415e-05,0
1.811376e-05,1
1.813336e-05,0
1.815297e-05,0
1.817258e-05,0
1.819219e-05,0
1.821179e-05,1
1.823140e-05,1
1.825101e-05,1
1.827062e-05,2
1.829023e-05,2
1.830983e-05,4
1.832944e-05,3
1.834905e-05,5
1.836866e-05,6
1.838826e-05,6
1.840787e-05,8
1.842748e-05,9
1.844709e-05,10
